track,quarter_region,available_quarters,operating_label,activity,years,annualized_official_sum_eok,annualized_abs_error_sum_eok,annualized_wape_pct,max_annualized_ape_pct,years_over_5pct,years_over_10pct,cause_class,needed_direct_data,candidate_action,priority_score
recursive_no_target_actual,대구,1,1분기+1개월,서비스업,5,2256136.48,48553.00522109482,2.1520420263358724,2.7588686219945573,0,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,49597.886298501835
recursive_no_target_actual,대구,1,1분기+1개월,"광업, 제조업",5,616464.65,30939.2301569353,5.018816595069206,11.759026873951232,2,2,지역 제조업 구조·대형사업장 충격,시도/시군구 제조업 중분류 생산·출하·공장가동·전력·수출,중분류 제조업 생산지수/공장등록/전력/수출을 결합한 제조업 특화 시간배분,32492.013374438222
recursive_no_target_actual,대구,1,1분기+1개월,건설업,5,179601.84999999998,27845.91489585356,15.50424725349631,37.21877155479623,4,3,지역 건설수주·착공·준공 시차,"건축허가·착공·사용승인, 건설수주 공종별 지역자료",BOK식 건축 12분기·토목 24분기 분산지표와 건축물대장 이벤트 결합,32163.214391304853
recursive_no_target_actual,대구,1,1분기+1개월,사업서비스업,5,211866.05000000002,10571.591900982356,4.989752676741911,8.592645333394039,2,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,11099.088190835853
recursive_no_target_actual,대구,1,1분기+1개월,보건 및 사회복지업,5,311266.2,9374.36904321763,3.0116887227773623,6.952421594629314,1,0,의료기관·요양·복지시설 집중,"병상수, 의료기관, 건강보험 진료비, 복지시설",의료이용·시설 stock 기반 특화 라우팅,9656.695858523748
recursive_no_target_actual,대구,1,1분기+1개월,기타산업 및 순생산물세,5,273198.73,9259.87125163601,3.3894269024003187,5.8037561506006075,1,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,9573.727818966594
recursive_no_target_actual,대구,1,1분기+1개월,숙박 및 음식점업,5,93824.05,7939.933539720429,8.462578133986359,15.094054922538508,4,2,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,8611.85661930586
recursive_no_target_actual,대구,1,1분기+1개월,부동산업,5,348291.23,8029.339846171788,2.305352289855759,3.499424492887477,0,0,거래·임대·공시가격·입주물량의 지역 시차,"실거래, 전월세, 건축물대장, 공동주택 공시가격, 입주/준공",거래·임대 flow와 stock 지표를 구분한 부동산 특화 라우팅,8214.44441617581
recursive_no_target_actual,세종,1,1분기+1개월,서비스업,5,481036.36,17200.149334095055,3.5756443305231764,4.8566946535370255,0,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,17815.165498601145
recursive_no_target_actual,세종,1,1분기+1개월,"광업, 제조업",5,165129.74,6989.392643084288,4.232667382074415,9.215637008801588,2,0,지역 제조업 구조·대형사업장 충격,시도/시군구 제조업 중분류 생산·출하·공장가동·전력·수출,중분류 제조업 생산지수/공장등록/전력/수출을 결합한 제조업 특화 시간배분,7285.230385693225
recursive_no_target_actual,세종,1,1분기+1개월,건설업,5,57077.29,5092.301164977871,8.92176409387669,23.07984262142423,2,2,지역 건설수주·착공·준공 시차,"건축허가·착공·사용승인, 건설수주 공종별 지역자료",BOK식 건축 12분기·토목 24분기 분산지표와 건축물대장 이벤트 결합,5546.62426186693
recursive_no_target_actual,세종,1,1분기+1개월,"공공 행정, 국방·사회보장",5,210067.62,4413.379271968923,2.100932676806127,6.094637109703897,1,0,정부·군·행정기관 지출의 지역 귀속,"지방재정 집행, 정부기관/군부대 고용, 예산집행",전국분기비중 + 지역 공공고용/재정집행 보조,4506.101399245106
recursive_no_target_actual,세종,1,1분기+1개월,사업서비스업,5,37778.399999999994,2234.0720545425356,5.913622743532113,20.439728951149604,2,1,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,2366.186647666858
recursive_no_target_actual,세종,1,1분기+1개월,보건 및 사회복지업,5,27548.35,1952.261044373864,7.086671413619561,19.280371819375866,3,1,의료기관·요양·복지시설 집중,"병상수, 의료기관, 건강보험 진료비, 복지시설",의료이용·시설 stock 기반 특화 라우팅,2090.6113697247374
recursive_no_target_actual,세종,1,1분기+1개월,기타산업 및 순생산물세,5,68429.66,1829.6077534856904,2.673705749065084,6.386834854363507,1,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,1878.5260811759779
recursive_no_target_actual,세종,1,1분기+1개월,부동산업,5,54149.57,1733.2644625579323,3.2008831511643256,8.761333360568644,1,0,거래·임대·공시가격·입주물량의 지역 시차,"실거래, 전월세, 건축물대장, 공동주택 공시가격, 입주/준공",거래·임대 flow와 stock 지표를 구분한 부동산 특화 라우팅,1788.7442327050683
recursive_no_target_actual,울산,1,1분기+1개월,"광업, 제조업",5,2020375.66,92544.79207941459,4.580573499851735,8.837151539927564,3,0,지역 제조업 구조·대형사업장 충격,시도/시군구 제조업 중분류 생산·출하·공장가동·전력·수출,중분류 제조업 생산지수/공장등록/전력/수출을 결합한 제조업 특화 시간배분,96783.87430089714
recursive_no_target_actual,울산,1,1분기+1개월,건설업,5,151906.42,30257.63265340507,19.91860031551337,34.039952663503755,5,4,지역 건설수주·착공·준공 시차,"건축허가·착공·사용승인, 건설수주 공종별 지역자료",BOK식 건축 12분기·토목 24분기 분산지표와 건축물대장 이벤트 결합,36284.52956657309
recursive_no_target_actual,울산,1,1분기+1개월,서비스업,5,1037784.52,13906.785439718748,1.3400455655012804,2.729624098911237,0,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,14093.142701307477
recursive_no_target_actual,울산,1,1분기+1개월,기타산업 및 순생산물세,5,684437.4500000001,10027.228311725383,1.4650320948576647,2.39604059274958,0,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,10174.130424716814
recursive_no_target_actual,울산,1,1분기+1개월,운수 및 창고업,5,109499.66999999998,5929.956213654255,5.415501447314185,9.981361867834025,3,0,항만·공항·물류거점 활동량의 지역차,"항만 물동량, 공항 여객/화물, 물류창고 인허가, 대중교통 승하차",항만/공항/물류 활동량이 큰 지역만 독립 라우팅,6251.093078229798
recursive_no_target_actual,울산,1,1분기+1개월,숙박 및 음식점업,5,49233.48999999999,3773.8163311068756,7.6651408037636095,17.415252531998103,3,2,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,4063.0846665616436
recursive_no_target_actual,울산,1,1분기+1개월,사업서비스업,5,135771.6,3143.9764452379895,2.3156362930377115,7.754808269110228,1,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,3216.7795048484772
recursive_no_target_actual,울산,1,1분기+1개월,도매 및 소매업,5,98262.6,3049.0138820331777,3.1029240850874875,9.63826696286074,1,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,3143.6224681364456
recursive_no_target_actual,인천,1,1분기+1개월,서비스업,5,3256514.3200000003,194742.24354037002,5.980082517812174,7.881791525791597,4,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,206387.9904011229
recursive_no_target_actual,인천,1,1분기+1개월,운수 및 창고업,5,662937.48,116113.31248262688,17.51497177118827,25.85202049118151,4,4,항만·공항·물류거점 활동량의 지역차,"항만 물동량, 공항 여객/화물, 물류창고 인허가, 대중교통 승하차",항만/공항/물류 활동량이 큰 지역만 독립 라우팅,136450.5263865506
recursive_no_target_actual,인천,1,1분기+1개월,건설업,5,354378.03,46691.60270039299,13.175648247830992,24.41212076995858,5,3,지역 건설수주·착공·준공 시차,"건축허가·착공·사용승인, 건설수주 공종별 지역자료",BOK식 건축 12분기·토목 24분기 분산지표와 건축물대장 이벤트 결합,52843.524033471534
recursive_no_target_actual,인천,1,1분기+1개월,"광업, 제조업",5,1350098.31,22503.841132731875,1.6668298127661438,5.316619038563618,1,0,지역 제조업 구조·대형사업장 충격,시도/시군구 제조업 중분류 생산·출하·공장가동·전력·수출,중분류 제조업 생산지수/공장등록/전력/수출을 결합한 제조업 특화 시간배분,22878.941865749777
recursive_no_target_actual,인천,1,1분기+1개월,도매 및 소매업,5,398793.93,19939.005006634892,4.999826603838954,10.900235948535869,2,1,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,20935.920683497403
recursive_no_target_actual,인천,1,1분기+1개월,사업서비스업,5,275457.52,13272.797079676413,4.818455157686896,8.234059682558929,2,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,13912.340855131395
recursive_no_target_actual,인천,1,1분기+1개월,기타산업 및 순생산물세,5,547753.0599999999,12619.024038916323,2.3037797431777607,4.230694342908864,0,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,12909.73855851161
recursive_no_target_actual,인천,1,1분기+1개월,부동산업,5,431922.31000000006,12173.244801159759,2.8183875940929646,6.513810449194675,1,0,거래·임대·공시가격·입주물량의 지역 시차,"실거래, 전월세, 건축물대장, 공동주택 공시가격, 입주/준공",거래·임대 flow와 stock 지표를 구분한 부동산 특화 라우팅,12516.334022434212
recursive_no_target_actual,충북,1,1분기+1개월,"광업, 제조업",5,1826797.6600000001,125760.09130308637,6.884182854880949,21.26127054072196,2,1,지역 제조업 구조·대형사업장 충격,시도/시군구 제조업 중분류 생산·출하·공장가동·전력·수출,중분류 제조업 생산지수/공장등록/전력/수출을 결합한 제조업 특화 시간배분,134417.64594685606
recursive_no_target_actual,충북,1,1분기+1개월,서비스업,5,1665529.29,21929.751665173564,1.3166836390594827,2.569700692281146,0,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,22218.49711743528
recursive_no_target_actual,충북,1,1분기+1개월,건설업,5,218509.09,14134.381108740832,6.468555202321712,14.320053117618269,2,2,지역 건설수주·착공·준공 시차,"건축허가·착공·사용승인, 건설수주 공종별 지역자료",BOK식 건축 12분기·토목 24분기 분산지표와 건축물대장 이벤트 결합,15048.671353266263
recursive_no_target_actual,충북,1,1분기+1개월,기타산업 및 순생산물세,5,424111.46,14073.084414625177,3.3182513895345287,6.211731614753366,2,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,14540.064733763842
recursive_no_target_actual,충북,1,1분기+1개월,숙박 및 음식점업,5,73283.5,7751.302621192068,10.577145771138206,20.469472486445987,4,2,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,8571.169198597609
recursive_no_target_actual,충북,1,1분기+1개월,문화 및 기타서비스업,5,114473.72,5844.009528625447,5.105110176052151,8.86752386671144,3,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,6142.352653760762
recursive_no_target_actual,충북,1,1분기+1개월,도매 및 소매업,5,147333.7,5720.282877314785,3.882535276935816,5.566020010383616,1,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅,5942.3748779670495
recursive_no_target_actual,충북,1,1분기+1개월,운수 및 창고업,5,127115.14000000001,5311.5794649409145,4.178557695755922,14.107212389472574,2,1,항만·공항·물류거점 활동량의 지역차,"항만 물동량, 공항 여객/화물, 물류창고 인허가, 대중교통 승하차",항만/공항/물류 활동량이 큰 지역만 독립 라우팅,5533.526877439394
