track,quarter_region,available_quarters,operating_label,activity,years,annualized_official_sum_eok,annualized_abs_error_sum_eok,annualized_wape_pct,max_annualized_ape_pct,years_over_5pct,years_over_10pct,cause_class,needed_direct_data,candidate_action
prior_year_province_anchor,대구,1,1분기+1개월,건설업,5,179601.84999999998,19538.26885895601,10.878656794991818,31.71425661924249,4,2,지역 건설수주·착공·준공 시차,"건축허가·착공·사용승인, 건설수주 공종별 지역자료",BOK식 건축 12분기·토목 24분기 분산지표와 건축물대장 이벤트 결합
prior_year_province_anchor,대구,1,1분기+1개월,"공공 행정, 국방·사회보장",5,231209.36000000002,3675.7126869078056,1.5897767663505515,5.241104173936786,1,0,정부·군·행정기관 지출의 지역 귀속,"지방재정 집행, 정부기관/군부대 고용, 예산집행",전국분기비중 + 지역 공공고용/재정집행 보조
prior_year_province_anchor,대구,1,1분기+1개월,"광업, 제조업",5,616464.65,15513.740963504142,2.516566191346761,7.963008506630589,1,0,지역 제조업 구조·대형사업장 충격,시도/시군구 제조업 중분류 생산·출하·공장가동·전력·수출,중분류 제조업 생산지수/공장등록/전력/수출을 결합한 제조업 특화 시간배분
prior_year_province_anchor,대구,1,1분기+1개월,교육 서비스업,5,232082.38,2663.2227683904566,1.1475333751706858,2.6150082840396376,0,0,학령인구·대학·공공교육 지출 구조,"학교/학생/교직원, 대학 재정, 교육청 집행",교육통계 stock과 교육재정 flow 결합
prior_year_province_anchor,대구,1,1분기+1개월,금융 및 보험업,5,211624.56999999998,4199.251856931296,1.984293155058175,6.158058600084497,1,0,본점/지점 소재와 생산 귀속 차이,금융기관 점포·예수금·대출금·보험계약,시도 단위 금융활동 보조지표로만 완만 보정
prior_year_province_anchor,대구,1,1분기+1개월,기타산업 및 순생산물세,5,273198.73,7894.628884428726,2.889701897380243,5.8037561506006075,1,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅
prior_year_province_anchor,대구,1,1분기+1개월,도매 및 소매업,5,271531.56,6928.884543186214,2.551778711537699,8.213254235227483,1,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅
prior_year_province_anchor,대구,1,1분기+1개월,문화 및 기타서비스업,5,105734.45999999999,4139.034548873013,3.9145559062513895,6.511103149431125,2,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅
prior_year_province_anchor,대구,1,1분기+1개월,보건 및 사회복지업,5,311266.2,8980.122520202684,2.885029765584147,6.952421594629314,1,0,의료기관·요양·복지시설 집중,"병상수, 의료기관, 건강보험 진료비, 복지시설",의료이용·시설 stock 기반 특화 라우팅
prior_year_province_anchor,대구,1,1분기+1개월,부동산업,5,348291.23,7816.048718438906,2.2441129851127477,3.499424492887477,0,0,거래·임대·공시가격·입주물량의 지역 시차,"실거래, 전월세, 건축물대장, 공동주택 공시가격, 입주/준공",거래·임대 flow와 stock 지표를 구분한 부동산 특화 라우팅
prior_year_province_anchor,대구,1,1분기+1개월,사업서비스업,5,211866.05000000002,8559.0612681868,4.0398455855418085,8.592645333394039,2,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅
prior_year_province_anchor,대구,1,1분기+1개월,서비스업,5,2256136.48,44467.45388682897,1.9709558477964493,2.7588686219945573,0,0,전국 공통 분기비중과 지역 구조 차이,시도/시군구 직접 활동자료,활동자료가 확인되는 지역·업종만 독립 라우팅
